optimal_depth,search_name,solution_depth,nodes_expanded
1 , A* Graph , 1 , 1
2 , A* Graph , 2 , 4
3 , A* Graph , 3 , 7
4 , A* Graph , 4 , 8
5 , A* Graph , 5 , 16
6 , A* Graph , 6 , 24
7 , A* Graph , 7 , 51
8 , A* Graph , 8 , 63
9 , A* Graph , 9 , 115
10 , A* Graph , 10 , 137
11 , A* Graph , 11 , 381
12 , A* Graph , 12 , 306
13 , A* Graph , 13 , 556
14 , A* Graph , 14 , 374
1 , A* , 1 , 1
2 , A* , 2 , 4
3 , A* , 3 , 8
4 , A* , 4 , 11
5 , A* , 5 , 33
6 , A* , 6 , 96
7 , A* , 7 , 146
8 , A* , 8 , 125
9 , A* , 9 , 918
10 , A* , 10 , 1512
11 , A* , 11 , 6011
12 , A* , 12 , 13565
13 , A* , 13 , 25978
14 , A* , 14 , 20292
1 , DFS , 1 , 1
2 , DFS , 28294 , 28294
3 , DFS , 19731 , 19731
4 , DFS , 40066 , 40066
5 , DFS , 35 , 35
6 , DFS , 50776 , 50776
7 , DFS , 33014 , 33014
8 , DFS , 52678 , 52678
9 , DFS , 63381 , 63381
10 , DFS , 6167 , 6167
11 , DFS , 38371 , 38371
12 , DFS , 147420 , 147420
13 , DFS , 9417 , 9417
14 , DFS , 4174 , 4174
1 , DFS , 11673 , 11673
2 , DFS , 10624 , 10624
3 , DFS , 10871 , 10871
4 , DFS , 344 , 344
5 , DFS , 44196 , 44196
6 , DFS , 16 , 16
7 , DFS , 80 , 80
8 , DFS , 14141 , 14141
9 , DFS , 70791 , 70791
10 , DFS , 91 , 91
11 , DFS , 73 , 73
12 , DFS , 134391 , 134391
13 , DFS , 18481 , 18481
14 , DFS , 30277 , 30277
1 , DFS , 22420 , 22420
2 , DFS , 67801 , 67801
3 , DFS , 7 , 7
4 , DFS , 41344 , 41344
5 , DFS , 44348 , 44348
6 , DFS , 24646 , 24646
7 , DFS , 27497 , 27497
8 , DFS , 3044 , 3044
9 , DFS , 41654 , 41654
10 , DFS , 19644 , 19644
11 , DFS , 871 , 871
12 , DFS , 1048 , 1048
13 , DFS , 6265 , 6265
14 , DFS , 15816 , 15816
1 , DFS , 11835 , 11835
2 , DFS , 2 , 2
3 , DFS , 3 , 3
4 , DFS , 16360 , 16360
5 , DFS , 52273 , 52273
6 , DFS , 7030 , 7030
7 , DFS , 36025 , 36025
8 , DFS , 12957 , 12957
9 , DFS , 42414 , 42414
10 , DFS , 84933 , 84933
11 , DFS , 13631 , 13631
12 , DFS , 66838 , 66838
13 , DFS , 17753 , 17753
14 , DFS , 1001 , 1001
1 , DFS , 11 , 11
2 , DFS , 2 , 2
3 , DFS , 17741 , 17741
4 , DFS , 11421 , 11421
5 , DFS , 10171 , 10171
6 , DFS , 5158 , 5158
7 , DFS , 26137 , 26137
8 , DFS , 44873 , 44873
9 , DFS , 113 , 113
10 , DFS , 60178 , 60178
11 , DFS , 35985 , 35985
